tag_name,tag_type_id
rabbit_tail,0
sneakers,0
black_leotard,0
hand_on_own_chest,0
white_border,0
t-shirt,0
tassel,0
holding_gun,0
head_wings,0
all_fours,0
gem,0
yaoi,0
red_footwear,0
white_apron,0
tan,0
bondage,0
red_bowtie,0
furry,0
hair_bobbles,0
short_twintails,0
messy_hair,0
lipstick,0
green_skirt,0
goggles,0
shoulder_armor,0
holding_cup,0
brooch,0
building,0
group_sex,0
polearm,0
black_bra,0
horse_tail,0
otoko_no_ko,0
fishnets,0
staff,0
shaded_face,0
1other,0
letterboxed,0
loafers,0
crescent,0
towel,0
straight_hair,0
star_(sky),0
cherry_blossoms,0
single_thighhigh,0
kiss,0
feathered_wings,0
clenched_hand,0
bandaid,0
pink_dress,0
^^^,0
strapless_leotard,0
box,0
hat_bow,0
wind,0
facing_viewer,0
grey_shirt,0
black_necktie,0
multiple_tails,0
drooling,0
no_pants,0
extra_ears,0
eyewear_on_head,0
demon_tail,0
steam,0
bike_shorts,0
yellow_background,0
dog_ears,0
hooded_jacket,0
armband,0
instrument,0
casual,0
butterfly,0
surprised,0
night_sky,0
panty_pull,0
foreshortening,0
sex_toy,0
pale_skin,0
child,0
breast_press,0
revealing_clothes,0
anal,0
red_headwear,0
gauntlets,0
white_ribbon,0
rope,0
sheath,0
china_dress,0
ribbon_trim,0
pink_panties,0
adapted_costume,0
knees_up,0
multicolored_clothes,0
cover_page,0
candy,0
wristband,0
between_breasts,0
red_background,0
couch,0
hakama,0
blouse,0
wet_clothes,0
musical_note,0
colored_inner_hair,0
hair_over_shoulder,0
ejaculation,0
scenery,0
skin_fang,0
puffy_long_sleeves,0
arms_behind_head,0
veil,0
nature,0
breath,0
male_pubic_hair,0
red_jacket,0
genderswap,0
mole_under_mouth,0
red_nails,0
lace_trim,0
covering_privates,0
side_braid,0
third_eye,0
scar_on_face,0
waist_apron,0
smartphone,0
microphone,0
facial,0
skirt_set,0
christmas,0
web_address,0
large_pectorals,0
pink_flower,0
pelvic_curtain,0
light_blush,0
...,0
strapless_dress,0
anger_vein,0
baseball_cap,0
beard,0
string_bikini,0
interlocked_fingers,0
striped_panties,0
light_particles,0
blue_headwear,0
claws,0
breasts_apart,0
bridal_gauntlets,0
cloak,0
toenails,0
peaked_cap,0
index_finger_raised,0
highleg_leotard,0
red_neckerchief,0
glowing_eyes,0
white_pupils,0
short_hair_with_long_locks,0
purple_dress,0
side-tie_panties,0
semi-rimless_eyewear,0
low_ponytail,0
white_pantyhose,0
convenient_censoring,0
jingle_bell,0
motor_vehicle,0
hand_fan,0
two-tone_background,0
grey_skirt,0
front-tie_top,0
bow_panties,0
mecha,0
buckle,0
hair_flaps,0
twin_drills,0
clothes_writing,0
areola_slip,0
carrying,0
pom_pom_(clothes),0
clothing_aside,0
androgynous,0
pink_nails,0
micro_bikini,0
angry,0
close-up,0
yellow_bow,0
maid_apron,0
forehead,0
sleeves_past_fingers,0
hood_up,0
wolf_tail,0
meme,0
cum_on_breasts,0
corset,0
neck_bell,0
blue_nails,0
skin_tight,0
hand_on_own_face,0
paizuri,0
rifle,0
o-ring,0
eyeshadow,0
tentacles,0
patreon_username,0
hakama_skirt,0
black_belt,0
lace,0
holding_phone,0
french_braid,0
no_headwear,0
tokin_hat,0
spoken_heart,0
:<,0
white_sleeves,0
cropped_jacket,0
eye_contact,0
curvy,0
cropped_legs,0
faceless,0
licking,0
bikini_top_only,0
brown_gloves,0
crossed_bangs,0
plate,0
restrained,0
snow,0
outside_border,0
red_gloves,0
mary_janes,0
full_moon,0
spikes,0
tearing_up,0
colored_sclera,0
black_wings,0
science_fiction,0
blue_bikini,0
holding_book,0
:p,0
side_slit,0
gift,0
desk,0
black_coat,0
camisole,0
alternate_breast_size,0
finger_to_mouth,0
ball,0
strap_slip,0
armlet,0
green_bow,0
single_horn,0
lens_flare,0
cowgirl_position,0
floating,0
dragon_horns,0
drinking_glass,0
hair_scrunchie,0
arm_at_side,0
sleeves_rolled_up,0
seiza,0
genderswap_(mtf),0
gold_trim,0
puffy_nipples,0
blue_necktie,0
santa_hat,0
clenched_hands,0
after_sex,0
black_sailor_collar,0
wide_hips,0
pink_skirt,0
single_glove,0
pink_ribbon,0
veins,0
smoke,0
tareme,0
white_sailor_collar,0
handgun,0
heavy_breathing,0
between_legs,0
half_updo,0
zipper,0
knee_up,0
brown_background,0
starry_sky,0
masturbation,0
blue_flower,0
handjob,0
tsurime,0
open_coat,0
freckles,0
blue_shorts,0
demon_wings,0
wading,0
pencil_skirt,0
happy_birthday,0
fish,0
green_background,0
pink_shirt,0
alcohol,0
clothed_sex,0
pendant,0
ribbed_sweater,0
topless_male,0
dual_persona,0
clothed_female_nude_male,0
high_heel_boots,0
track_jacket,0
single_earring,0
outline,0
frilled_apron,0
spot_color,0
partially_submerged,0
tray,0
low-tied_long_hair,0
asymmetrical_legwear,0
swim_ring,0
sweater_vest,0
purple_background,0
cross-laced_footwear,0
arm_behind_back,0
reflection,0
forest,0
!,0
upskirt,0
legs_up,0
headset,0
black_vest,0
frilled_bikini,0
walking,0
cake,0
white_skin,0
hair_rings,0
beads,0
pocket,0
personification,0
one-hour_drawing_challenge,0
mature_male,0
backlighting,0
halloween,0
vertical-striped_clothes,0
bulge,0
dress_lift,0
green_dress,0
unworn_headwear,0
frilled_shirt_collar,0
legs_apart,0
long_fingernails,0
toned,0
mole_on_breast,0
broom,0
black-framed_eyewear,0
arm_behind_head,0
brown_pantyhose,0
thong,0
condom,0
red_bikini,0
short_ponytail,0
out_of_frame,0
purple_bow,0
long_skirt,0
high-waist_skirt,0
round_eyewear,0
crying_with_eyes_open,0
rain,0
blue_footwear,0
crossdressing,0
angel_wings,0
white_bra,0
cuffs,0
flying,0
gym_uniform,0
cumdrip,0
purple_skirt,0
yellow_shirt,0
cropped_torso,0
one_eye_covered,0
goggles_on_head,0
bubble,0
black_bowtie,0
hand_in_own_hair,0
braided_ponytail,0
age_difference,0
red-framed_eyewear,0
fingering,0
epaulettes,0
curly_hair,0
empty_eyes,0
ribbon-trimmed_sleeves,0
dot_nose,0
santa_costume,0
futanari,0
teacup,0
kemonomimi_mode,0
high_collar,0
doujin_cover,0
raised_eyebrows,0
brown_jacket,0
tanlines,0
rape,0
6+boys,0
denim_shorts,0
spoken_ellipsis,0
brown_skirt,0
bowl,0
hat_ornament,0
dragon_girl,0
animal_hands,0
hand_on_another's_head,0
panties_under_pantyhose,0
innertube,0
sideburns,0
buruma,0
4boys,0
@_@,0
contrapposto,0
white_pants,0
school_bag,0
jitome,0
nontraditional_miko,0
pouch,0
thighband_pantyhose,0
:q,0
emphasis_lines,0
doggystyle,0
black_serafuku,0
faceless_male,0
cigarette,0
dual_wielding,0
breast_hold,0
red_scarf,0
fur_collar,0
green_jacket,0
abyssal_ship,0
sailor_dress,0
asymmetrical_hair,0
knees_together_feet_apart,0
robe,0
spread_pussy,0
garter_belt,0
white_shorts,0
machinery,0
hand_in_pocket,0
pauldrons,0
naughty_face,0
competition_swimsuit,0
dog_tail,0
cum_in_mouth,0
legs_together,0
mini_person,0
yellow_ribbon,0
lolita_fashion,0
head_rest,0
running,0
hands_on_own_hips,0
top_hat,0
sun_hat,0
plump,0
furry_female,0
white_hairband,0
asymmetrical_bangs,0
ass_grab,0
threesome,0
watch,0
thought_bubble,0
fake_tail,0
blood_on_face,0
sunset,0
blue_one-piece_swimsuit,0
twins,0
furrowed_brow,0
turtleneck_sweater,0
monster,0
dog,0
star_hair_ornament,0
white_kimono,0
sports_bra,0
under-rim_eyewear,0
drinking_straw,0
white_wings,0
grey_jacket,0
aged_up,0
new_year,0
poke_ball,0
blurry_foreground,0
wide-eyed,0
skull,0
shield,0
